time,frac_pred,temp_pred
0,0.0,31.357311
20,0.0081323385,34.217422
40,0.038258582,36.868065
60,0.070735514,39.316814
80,0.105294704,41.57542
100,0.14163715,43.658695
120,0.17944852,45.583572
140,0.21842015,47.36824
160,0.25826737,49.031315
180,0.2987463,50.591415
200,0.339664,52.06658
220,0.38088447,53.474087
240,0.42232484,54.830204
260,0.4639426,56.150043
280,0.5057134,57.447426
300,0.5476016,58.73495
320,0.5895264,60.02366
340,0.6313311,61.323112
360,0.6727555,62.641163
380,0.71342754,63.983902
400,0.75287044,65.35546
420,0.79053265,66.75796
440,0.8258379,68.19127
460,0.85824305,69.65305
480,0.8873008,71.13837
500,0.91270953,72.63987
520,0.9343465,74.14778
540,0.9522719,75.65027
560,0.9667135,77.13416
580,0.9780298,78.58579
600,0.98666126,79.99194
620,0.9930816,81.34086
640,0.99775463,82.622955
660,1.0,83.83121
680,1.0,84.96134
700,1.0,86.01158
720,1.0,86.9823
740,1.0,87.87563
760,1.0,88.69493
780,1.0,89.4443
800,1.0,90.12837
820,1.0,90.751884
840,1.0,91.319595
860,1.0,91.83604
880,1.0,92.30551
900,1.0,92.73204
920,1.0,93.11931
940,1.0,93.470695
960,1.0,93.789276
980,1.0,94.077835
1000,1.0,94.33891
1020,1.0,94.5748
1040,1.0,94.7876
1060,1.0,94.97919
1080,1.0,95.151276
1100,1.0,95.30545
1120,1.0,95.44314
1140,1.0,95.56564
1160,1.0,95.674164
1180,1.0,95.76977
1200,1.0,95.8535
1220,1.0,95.92626
1240,1.0,95.98892
1260,1.0,96.04225
1280,1.0,96.086975
1300,1.0,96.12374
1320,1.0,96.15319
1340,1.0,96.1759
1360,1.0,96.192375
1380,1.0,96.203125
1400,1.0,96.20858
1420,1.0,96.209175
1440,1.0,96.2053
1460,1.0,96.197296
1480,1.0,96.18551
