time,frac_pred,temp_pred
0,0.0,31.454752
20,0.012416214,33.89546
40,0.037091866,36.17856
60,0.06361708,38.31572
80,0.09178491,40.319866
100,0.12137517,42.204453
120,0.15216066,43.983
140,0.18391854,45.668636
160,0.21643782,47.27381
180,0.24952656,48.810078
200,0.2830195,50.288013
220,0.3167786,51.717155
240,0.35069713,53.105984
260,0.38469577,54.461983
280,0.418719,55.791702
300,0.45272726,57.10081
320,0.48668802,58.39413
340,0.5205663,59.67577
360,0.5543133,60.94913
380,0.5878586,62.216896
400,0.6211021,63.48118
420,0.65391165,64.74341
440,0.6861211,66.004456
460,0.71753603,67.264595
480,0.74794096,68.52347
500,0.7771107,69.78019
520,0.8048231,71.03331
540,0.8308734,72.28081
560,0.8550867,73.5201
580,0.8773288,74.748215
600,0.8975137,75.96166
620,0.91560715,77.15661
640,0.9316259,78.329
660,0.94563526,79.4746
680,0.9577401,80.58922
700,0.9680783,81.66882
720,0.9768109,82.709694
740,0.9841104,83.70853
760,0.99015564,84.66262
780,0.9951208,85.569885
800,0.99917144,86.42884
820,1.0,87.23878
840,1.0,87.99946
860,1.0,88.71142
880,1.0,89.37551
900,1.0,89.99313
920,1.0,90.565994
940,1.0,91.096016
960,1.0,91.58535
980,1.0,92.03619
1000,1.0,92.45086
1020,1.0,92.831635
1040,1.0,93.180756
1060,1.0,93.500404
1080,1.0,93.79268
1100,1.0,94.0596
1120,1.0,94.30304
1140,1.0,94.52477
1160,1.0,94.726494
1180,1.0,94.90971
1200,1.0,95.075905
1220,1.0,95.22636
1240,1.0,95.36235
1260,1.0,95.485016
1280,1.0,95.595375
1300,1.0,95.69442
1320,1.0,95.78307
1340,1.0,95.862114
1360,1.0,95.932304
1380,1.0,95.99436
1400,1.0,96.04894
1420,1.0,96.09663
1440,1.0,96.13794
1460,1.0,96.17343
1480,1.0,96.20353
