time,frac_pred,temp_pred
0,0.0,29.463564
20,0.0,32.42055
40,0.016854256,35.110462
60,0.040082708,37.547047
80,0.065838486,39.748188
100,0.09386839,41.734425
120,0.12388232,43.527508
140,0.15556566,45.149307
160,0.18858898,46.62104
180,0.22262311,47.962685
200,0.2573532,49.19276
220,0.2924933,50.328144
240,0.32780114,51.38408
260,0.36308855,52.3743
280,0.3982282,53.311172
300,0.43315405,54.205814
320,0.4678563,55.06832
340,0.5023684,55.907776
360,0.53674924,56.73245
380,0.5710606,57.549854
400,0.6053428,58.36666
420,0.63959044,59.188747
440,0.67373127,60.021122
460,0.7076142,60.86789
480,0.74100524,61.732265
500,0.77359533,62.61632
520,0.8050193,63.521194
540,0.8348848,64.446915
560,0.862806,65.39236
580,0.8884389,66.35536
600,0.91151077,67.33251
620,0.93184274,68.31932
640,0.94936305,69.310196
660,0.9641066,70.298645
680,0.97620374,71.277504
700,0.98586494,72.23933
720,0.993357,73.1767
740,0.9989787,74.08266
760,1.0,74.9511
780,1.0,75.777016
800,1.0,76.556564
820,1.0,77.28733
840,1.0,77.96806
860,1.0,78.5987
880,1.0,79.18005
900,1.0,79.713776
920,1.0,80.201996
940,1.0,80.64729
960,1.0,81.052414
980,1.0,81.42022
1000,1.0,81.75358
1020,1.0,82.0553
1040,1.0,82.32797
1060,1.0,82.57417
1080,1.0,82.79621
1100,1.0,82.9962
1120,1.0,83.17615
1140,1.0,83.337814
1160,1.0,83.48286
1180,1.0,83.61271
1200,1.0,83.72872
1220,1.0,83.832085
1240,1.0,83.923874
1260,1.0,84.00505
1280,1.0,84.07651
1300,1.0,84.139015
1320,1.0,84.19328
1340,1.0,84.23994
1360,1.0,84.279594
1380,1.0,84.31272
1400,1.0,84.33983
1420,1.0,84.36134
1440,1.0,84.377625
1460,1.0,84.38904
1480,1.0,84.39591
