time,frac_pred,temp_pred
0,0.23619947,48.86557
20,0.26105368,49.744373
40,0.2859627,50.56178
60,0.3109128,51.323803
80,0.3359029,52.03618
100,0.3609443,52.70432
120,0.38606232,53.333466
140,0.41129392,53.928528
160,0.43668914,54.49427
180,0.46230865,55.035275
200,0.48822385,55.555954
220,0.5145127,56.06064
240,0.5412577,56.55356
260,0.5685418,57.03889
280,0.59643924,57.52081
300,0.62500924,58.003426
320,0.6542836,58.490936
340,0.6842556,58.9874
360,0.71486485,59.497044
380,0.74598247,60.02399
400,0.77739984,60.572475
420,0.80881697,61.14676
440,0.83984077,61.751205
460,0.8699922,62.39025
480,0.8987212,63.06838
500,0.92543966,63.78987
520,0.9495612,64.55854
540,0.9705543,65.376976
560,0.98799926,66.24578
580,1.0,67.16243
600,1.0,68.12041
620,1.0,69.10861
640,1.0,70.111565
660,1.0,71.11052
680,1.0,72.085526
700,1.0,73.01767
720,1.0,73.89125
740,1.0,74.69533
760,1.0,75.42416
780,1.0,76.0767
800,0.9985613,76.655785
820,0.9966194,77.166824
840,0.99528164,77.61664
860,0.99448234,78.012566
880,0.9941407,78.36169
900,0.9941738,78.67055
920,0.9945044,78.944855
940,0.99506456,79.18945
960,0.99579686,79.40833
980,0.99665433,79.60478
1000,0.9975992,79.78139
1020,0.99860173,79.940254
1040,0.9996391,80.08303
1060,1.0,80.21103
1080,1.0,80.32531
1100,1.0,80.42675
1120,1.0,80.51609
1140,1.0,80.59394
1160,1.0,80.66088
1180,1.0,80.71744
1200,1.0,80.76408
1220,1.0,80.801285
1240,1.0,80.82955
1260,1.0,80.84929
1280,1.0,80.86097
1300,1.0,80.86504
1320,1.0,80.861946
1340,1.0,80.85208
1360,1.0,80.835915
1380,1.0,80.81383
1400,1.0,80.78623
1420,1.0,80.75351
1440,1.0,80.71603
1460,1.0,80.67415
1480,1.0,80.62821
