time,frac_pred,temp_pred
0,0.19879353,46.711628
20,0.22465774,47.809063
40,0.25076726,48.82824
60,0.27707368,49.77566
80,0.30354297,50.65775
100,0.33015454,51.480827
120,0.35690284,52.251015
140,0.3837982,52.974262
160,0.41086608,53.65635
180,0.4381467,54.30287
200,0.46569425,54.919277
220,0.49357498,55.51091
240,0.52186185,56.082893
260,0.55063266,56.640385
280,0.5799607,57.188396
300,0.60990727,57.731922
320,0.6405092,58.275887
340,0.67176634,58.82521
360,0.7036256,59.384743
380,0.7359652,59.95937
400,0.76858026,60.553925
420,0.8011721,61.17327
440,0.8333434,61.822296
460,0.8646053,62.505898
480,0.89439356,63.229027
500,0.9221012,63.996338
520,0.94712204,64.81201
540,0.96890694,65.6789
560,0.9870227,66.597824
580,1.0,67.56637
600,1.0,68.57802
620,1.0,69.621475
640,1.0,70.68107
660,1.0,71.7378
680,1.0,72.77155
700,1.0,73.76343
720,1.0,74.69799
740,1.0,75.56466
760,1.0,76.35824
780,1.0,77.0783
800,1.0,77.72817
820,0.9983662,78.31364
840,0.99716944,78.8418
860,0.99650174,79.32001
880,0.99628145,79.7553
900,0.9964238,80.15398
920,0.99685174,80.5214
940,0.9974986,80.861984
960,0.99830717,81.1792
980,0.9992319,81.475784
1000,1.0,81.753746
1020,1.0,82.01458
1040,1.0,82.25937
1060,1.0,82.48884
1080,1.0,82.70352
1100,1.0,82.90378
1120,1.0,83.089905
1140,1.0,83.26212
1160,1.0,83.420654
1180,1.0,83.565735
1200,1.0,83.69762
1220,1.0,83.816605
1240,1.0,83.923035
1260,1.0,84.01728
1280,1.0,84.099754
1300,1.0,84.1709
1320,1.0,84.2312
1340,1.0,84.28114
1360,1.0,84.32127
1380,1.0,84.35207
1400,1.0,84.37409
1420,1.0,84.38784
1440,1.0,84.393845
1460,1.0,84.3926
1480,1.0,84.38462
