time,frac_pred,temp_pred
0,0.0,29.86809
20,0.00019919872,32.379185
40,0.018741325,34.692646
60,0.039427206,36.822422
80,0.062082782,38.783955
100,0.08651067,40.59332
120,0.11249553,42.26656
140,0.13981059,43.819122
160,0.168223,45.265553
180,0.19750157,46.61927
200,0.22742376,47.892426
220,0.2577837,49.09598
240,0.28839782,50.239666
260,0.31911126,51.332104
280,0.34980312,52.380962
300,0.3803856,53.392967
320,0.410806,54.374165
340,0.44104236,55.329906
360,0.47109842,56.265026
380,0.50099605,57.183876
400,0.53076583,58.09041
420,0.56043744,58.988163
440,0.59002954,59.880363
460,0.6195385,60.769867
480,0.6489323,61.659134
500,0.67814267,62.550247
520,0.70706314,63.44491
540,0.73554987,64.34436
560,0.76342434,65.24938
580,0.7904839,66.16034
600,0.8165112,67.07706
620,0.84128654,67.99891
640,0.8646032,68.92481
660,0.886278,69.853134
680,0.9061647,70.7818
700,0.9241603,71.70827
720,0.9402115,72.629616
740,0.95431405,73.54248
760,0.9665118,74.44325
780,0.9768906,75.3282
800,0.98557276,76.193474
820,0.9927054,77.03538
840,0.99845296,77.85038
860,1.0,78.63534
880,1.0,79.38761
900,1.0,80.10501
920,1.0,80.785965
940,1.0,81.429504
960,1.0,82.035194
980,1.0,82.60313
1000,1.0,83.13389
1020,1.0,83.62843
1040,1.0,84.088
1060,1.0,84.51411
1080,1.0,84.90843
1100,1.0,85.27276
1120,1.0,85.60893
1140,1.0,85.91879
1160,1.0,86.20417
1180,1.0,86.46685
1200,1.0,86.70851
1220,1.0,86.93079
1240,1.0,87.1352
1260,1.0,87.32315
1280,1.0,87.49599
1300,1.0,87.65493
1320,1.0,87.80111
1340,1.0,87.93558
1360,1.0,88.059265
1380,1.0,88.17306
1400,1.0,88.277756
1420,1.0,88.37408
1440,1.0,88.46271
1460,1.0,88.54422
1480,1.0,88.619194
