time,frac_pred,temp_pred
0,0.0,30.344393
20,0.0005276501,33.23533
40,0.027151734,35.900635
60,0.056229204,38.350636
80,0.08750349,40.599545
100,0.12068018,42.6642
120,0.15544218,44.562996
140,0.19146621,46.315
160,0.22843978,47.939148
180,0.2660783,49.45384
200,0.30413863,50.876446
220,0.34243017,52.223232
240,0.38081944,53.509205
260,0.41922826,54.74804
280,0.4576261,55.952248
300,0.49601203,57.133003
320,0.5343932,58.300373
340,0.57275987,59.46313
360,0.6110572,60.628895
380,0.6491621,61.803986
400,0.6868673,62.99342
420,0.7238768,64.20087
440,0.7598153,65.428505
460,0.7942525,66.6771
480,0.8267374,67.9459
500,0.856842,69.23254
520,0.88420165,70.533165
540,0.9085514,71.84229
560,0.9297494,73.153
580,0.9477857,74.4571
600,0.9627746,75.74548
620,0.9749357,77.008606
640,0.9845672,78.23701
660,0.9920123,79.42189
680,0.9976308,80.555595
700,1.0,81.631996
720,1.0,82.64668
740,1.0,83.596954
760,1.0,84.48182
780,1.0,85.30169
800,1.0,86.05812
820,1.0,86.75358
840,1.0,87.39118
860,1.0,87.97437
880,1.0,88.50686
900,1.0,88.992355
920,1.0,89.43451
940,1.0,89.83683
960,1.0,90.20265
980,1.0,90.53504
1000,1.0,90.83691
1020,1.0,91.11086
1040,1.0,91.359344
1060,1.0,91.584526
1080,1.0,91.78841
1100,1.0,91.97283
1120,1.0,92.13941
1140,1.0,92.28967
1160,1.0,92.42497
1180,1.0,92.54652
1200,1.0,92.65547
1220,1.0,92.75282
1240,1.0,92.83949
1260,1.0,92.916374
1280,1.0,92.984215
1300,1.0,93.04371
1320,1.0,93.09552
1340,1.0,93.140236
1360,1.0,93.178406
1380,1.0,93.21051
1400,1.0,93.237045
1420,1.0,93.25839
1440,1.0,93.27496
1460,1.0,93.287125
1480,1.0,93.29516
