time,frac_pred,temp_pred
0,0.0,29.743979
20,0.0,32.505272
40,0.019886896,35.039936
60,0.043534845,37.361195
80,0.06939611,39.485115
100,0.09722875,41.42943
120,0.12676588,43.212543
140,0.15772429,44.85282
160,0.18981516,46.36788
180,0.22275618,47.774338
200,0.25628307,49.087498
220,0.29016045,50.321327
240,0.3241914,51.488445
260,0.35822427,52.600216
280,0.3921559,53.66673
300,0.42592984,54.697147
320,0.4595306,55.699574
340,0.4929747,56.681343
360,0.52629423,57.649
380,0.5595237,58.608383
400,0.59268004,59.564636
420,0.6257463,60.52226
440,0.6586585,61.484985
460,0.69129485,62.455826
480,0.7234746,63.437065
500,0.7549595,64.430176
520,0.78546894,65.43578
540,0.81469566,66.45374
560,0.84232944,67.48306
580,0.86808115,68.521866
600,0.8917041,69.5675
620,0.91301554,70.61648
640,0.93190557,71.66459
660,0.9483442,72.70687
680,0.96237856,73.73795
700,0.9741252,74.7521
720,0.9837561,75.74348
740,0.99148315,76.70646
760,0.99754256,77.63584
780,1.0,78.52708
800,1.0,79.37647
820,1.0,80.18117
840,1.0,80.93936
860,1.0,81.65012
880,1.0,82.313416
900,1.0,82.929924
920,1.0,83.50092
940,1.0,84.028175
960,1.0,84.51382
980,1.0,84.96018
1000,1.0,85.36973
1020,1.0,85.74495
1040,1.0,86.088356
1060,1.0,86.40236
1080,1.0,86.68928
1100,1.0,86.95131
1120,1.0,87.19049
1140,1.0,87.40876
1160,1.0,87.60784
1180,1.0,87.7894
1200,1.0,87.954895
1220,1.0,88.1057
1240,1.0,88.24303
1260,1.0,88.368034
1280,1.0,88.481735
1300,1.0,88.58507
1320,1.0,88.67885
1340,1.0,88.76386
1360,1.0,88.84081
1380,1.0,88.91032
1400,1.0,88.972946
1420,1.0,89.02924
1440,1.0,89.079666
1460,1.0,89.12464
1480,1.0,89.16459
