time,frac_pred,temp_pred
0,0.0,29.398848
20,0.0,31.847132
40,0.010376766,34.07263
60,0.02371785,36.092857
80,0.039096296,37.92651
100,0.05636996,39.592434
120,0.07538584,41.108944
140,0.09598215,42.493183
160,0.11798878,43.76096
180,0.14122868,44.92647
200,0.1655182,46.00235
220,0.19067073,46.99974
240,0.21649921,47.928318
260,0.24282143,48.796555
280,0.26946405,49.6118
300,0.29626858,50.380455
320,0.32309568,51.108173
340,0.34982988,51.799934
360,0.3763817,52.460186
380,0.4026897,53.092968
400,0.4287194,53.70199
420,0.4544618,54.29069
440,0.47992998,54.862274
460,0.5051542,55.419807
480,0.5301768,55.966198
500,0.55504555,56.504158
520,0.5798072,57.036373
540,0.60450166,57.56529
560,0.6291537,58.09324
580,0.65377086,58.62238
600,0.6783355,59.15467
620,0.7028054,59.691864
640,0.7271095,60.235455
660,0.75115186,60.786697
680,0.77481127,61.346573
700,0.797947,61.91585
720,0.8204053,62.494907
740,0.8420257,63.08394
760,0.8626489,63.68273
780,0.88212436,64.290855
800,0.9003195,64.90747
820,0.91712314,65.53151
840,0.9324525,66.16141
860,0.9462562,66.79544
880,0.9585157,67.43145
900,0.96924406,68.067
920,0.97848564,68.69948
940,0.9863115,69.326
960,0.9928145,69.943634
980,0.99810606,70.549416
1000,1.0,71.14048
1020,1.0,71.714134
1040,1.0,72.26792
1060,1.0,72.799706
1080,1.0,73.30776
1100,1.0,73.790695
1120,1.0,74.2476
1140,1.0,74.67791
1160,1.0,75.08146
1180,1.0,75.45841
1200,1.0,75.80924
1220,1.0,76.134636
1240,1.0,76.4355
1260,1.0,76.71289
1280,1.0,76.96796
1300,1.0,77.201935
1320,1.0,77.41606
1340,1.0,77.6116
1360,1.0,77.78982
1380,1.0,77.95189
1400,1.0,78.09898
1420,1.0,78.232216
1440,1.0,78.35263
1460,1.0,78.4612
1480,1.0,78.55883
