time,frac_pred,temp_pred
0,0.0,30.079084
20,0.0,33.080956
40,0.018989757,35.79082
60,0.041699067,38.22425
80,0.06709762,40.40138
100,0.094935775,42.34522
120,0.12492411,44.079914
140,0.15674154,45.629677
160,0.19004858,47.017735
180,0.22449833,48.265926
200,0.25975358,49.394314
220,0.29550236,50.42111
240,0.33147618,51.362698
260,0.3674634,52.233845
280,0.40331984,53.047806
300,0.43897146,53.816544
320,0.47440988,54.5509
340,0.50967854,55.2608
360,0.54485244,55.955307
380,0.5800095,56.642666
400,0.6152018,57.3303
420,0.6504239,58.02485
440,0.68558824,58.732006
460,0.72050864,59.456505
480,0.75489837,60.202053
500,0.78838015,60.971252
520,0.8205147,61.765602
540,0.85083824,62.585415
560,0.87890655,63.429752
580,0.9043371,64.29639
600,0.92684716,65.18165
620,0.9462765,66.08054
640,0.9625974,66.98662
660,0.97590905,67.892395
680,0.9864194,68.78957
700,0.9944195,69.669464
720,1.0,70.52367
740,1.0,71.34441
760,1.0,72.125145
780,1.0,72.86074
800,1.0,73.54759
820,1.0,74.183716
840,1.0,74.76852
860,1.0,75.3026
880,1.0,75.78753
900,1.0,76.22557
920,1.0,76.6195
940,1.0,76.97233
960,1.0,77.287186
980,1.0,77.56719
1000,1.0,77.8154
1020,1.0,78.03464
1040,1.0,78.22761
1060,1.0,78.396774
1080,1.0,78.5444
1100,1.0,78.67255
1120,1.0,78.78303
1140,1.0,78.87755
1160,1.0,78.957565
1180,1.0,79.024445
1200,1.0,79.07936
1220,1.0,79.12338
1240,1.0,79.15747
1260,1.0,79.18248
1280,1.0,79.19919
1300,1.0,79.208244
1320,1.0,79.210304
1340,1.0,79.205894
1360,1.0,79.195526
1380,1.0,79.179665
1400,1.0,79.15868
1420,1.0,79.132996
1440,1.0,79.10291
1460,1.0,79.068726
1480,1.0,79.03075
