time,frac_pred,temp_pred
0,0.0,29.430979
20,0.0,32.184547
40,0.015764758,34.69521
60,0.035855696,36.978
80,0.058271915,39.050735
100,0.08280526,40.93275
120,0.10922027,42.643856
140,0.13726094,44.203423
160,0.16665724,45.62986
180,0.19713348,46.940308
200,0.2284171,48.150345
220,0.26024932,49.274063
240,0.292395,50.32404
260,0.32465258,51.311443
280,0.35686117,52.24622
300,0.3889058,53.137268
320,0.42071778,53.992504
340,0.45227295,54.819065
360,0.48358363,55.623463
380,0.51468885,56.41157
400,0.5456414,57.18877
420,0.576492,57.959938
440,0.60727465,58.729443
460,0.6379913,59.501236
480,0.6686006,60.278656
500,0.69900906,61.064503
520,0.7290696,61.86101
540,0.75858283,62.669754
560,0.7873076,63.491665
580,0.81497496,64.32707
600,0.8413065,65.17557
620,0.8660347,66.03607
640,0.8889209,66.90688
660,0.90977436,67.78554
680,0.9284623,68.66897
700,0.9449193,69.553444
720,0.95914704,70.434746
740,0.9712103,71.30817
760,0.9812296,72.16874
780,0.9893696,73.01152
800,0.9958249,73.83157
820,1.0,74.62439
840,1.0,75.385994
860,1.0,76.11303
880,1.0,76.80292
900,1.0,77.45387
920,1.0,78.064896
940,1.0,78.6357
960,1.0,79.16666
980,1.0,79.65867
1000,1.0,80.11305
1020,1.0,80.53148
1040,1.0,80.91584
1060,1.0,81.268166
1080,1.0,81.59054
1100,1.0,81.88507
1120,1.0,82.15383
1140,1.0,82.39879
1160,1.0,82.621864
1180,1.0,82.82484
1200,1.0,83.009384
1220,1.0,83.17704
1240,1.0,83.32923
1260,1.0,83.46727
1280,1.0,83.592354
1300,1.0,83.70557
1320,1.0,83.8079
1340,1.0,83.900246
1360,1.0,83.98341
1380,1.0,84.05814
1400,1.0,84.125114
1420,1.0,84.184906
1440,1.0,84.23808
1460,1.0,84.28512
1480,1.0,84.32648
