time,frac_pred,temp_pred
0,0.0,29.82066
20,0.0,32.89231
40,0.018485263,35.682518
60,0.044867516,38.203617
80,0.073862314,40.473125
100,0.10517016,42.51203
120,0.13845067,44.343174
140,0.17333889,45.990017
160,0.20946229,47.47563
180,0.24645987,48.822117
200,0.28400153,50.05012
220,0.321807,51.178665
240,0.35966,52.2252
260,0.3974178,53.205574
280,0.4350137,54.13423
300,0.4724474,55.024277
320,0.5097702,55.887737
340,0.5470576,56.735466
360,0.58437717,57.577347
380,0.62175316,58.422195
400,0.6591317,59.27774
420,0.6963549,60.150433
440,0.73314697,61.045563
460,0.76911736,61.96694
480,0.8037868,62.917034
500,0.83662534,63.896755
520,0.8671077,64.90533
540,0.8947671,65.94039
560,0.91924614,66.997635
580,0.94033295,68.07095
600,0.9579763,69.15247
620,0.9722826,70.232765
640,0.98349506,71.301476
660,0.99195796,72.34786
680,0.99807626,73.36157
700,1.0,74.33332
720,1.0,75.25548
740,1.0,76.12235
760,1.0,76.930305
780,1.0,77.67767
800,1.0,78.36453
820,1.0,78.992325
840,1.0,79.563515
860,1.0,80.0813
880,1.0,80.54929
900,1.0,80.97128
920,1.0,81.35106
940,1.0,81.69234
960,1.0,81.99858
980,1.0,82.27307
1000,1.0,82.51878
1020,1.0,82.73846
1040,1.0,82.934525
1060,1.0,83.10924
1080,1.0,83.264565
1100,1.0,83.402306
1120,1.0,83.52401
1140,1.0,83.63114
1160,1.0,83.724945
1180,1.0,83.80658
1200,1.0,83.877045
1220,1.0,83.93729
1240,1.0,83.9881
1260,1.0,84.03023
1280,1.0,84.064354
1300,1.0,84.09105
1320,1.0,84.1109
1340,1.0,84.12438
1360,1.0,84.131966
1380,1.0,84.134026
1400,1.0,84.130974
1420,1.0,84.12313
1440,1.0,84.11081
1460,1.0,84.094315
1480,1.0,84.0739
