time,frac_pred,temp_pred
0,0.0,31.140041
20,0.008358955,33.790554
40,0.035120815,36.260338
60,0.06396963,38.560146
80,0.09467463,40.70309
100,0.1269826,42.703682
120,0.16063106,44.57725
140,0.19536078,46.339184
160,0.23092729,48.004597
180,0.26711178,49.587845
200,0.30372918,51.1024
220,0.34063226,52.560677
240,0.3777118,53.97394
260,0.41489178,55.352364
280,0.45212042,56.70493
300,0.4893573,58.03954
320,0.52655727,59.363037
340,0.56365407,60.681145
360,0.60054594,61.998608
380,0.637083,63.319057
400,0.67306256,64.645134
420,0.70823056,65.978386
440,0.7422908,67.31932
460,0.7749228,68.667435
480,0.8058035,70.021164
500,0.83463234,71.37788
520,0.8611553,72.73403
540,0.8851841,74.08506
560,0.9066102,75.42561
580,0.92540985,76.7496
600,0.9416414,78.050514
620,0.95543593,79.32158
640,0.9669815,80.55616
660,0.97650665,81.748055
680,0.9842624,82.89169
700,0.9905043,83.982475
720,0.9954806,85.01688
740,0.9994214,85.992455
760,1.0,86.90798
780,1.0,87.76323
800,1.0,88.55885
820,1.0,89.29636
840,1.0,89.97783
860,1.0,90.60575
880,1.0,91.182976
900,1.0,91.7125
920,1.0,92.19736
940,1.0,92.640686
960,1.0,93.04542
980,1.0,93.41445
1000,1.0,93.75055
1020,1.0,94.056274
1040,1.0,94.33408
1060,1.0,94.586174
1080,1.0,94.81467
1100,1.0,95.02146
1120,1.0,95.208336
1140,1.0,95.3769
1160,1.0,95.52865
1180,1.0,95.66496
1200,1.0,95.78708
1220,1.0,95.89615
1240,1.0,95.993225
1260,1.0,96.07926
1280,1.0,96.155174
1300,1.0,96.22174
1320,1.0,96.27973
1340,1.0,96.329834
1360,1.0,96.37266
1380,1.0,96.408806
1400,1.0,96.438805
1420,1.0,96.463135
1440,1.0,96.4823
1460,1.0,96.496666
1480,1.0,96.50665
