time,frac_pred,temp_pred
0,0.0,29.783726
20,0.0,32.731434
40,0.020837665,35.430305
60,0.047380567,37.892056
80,0.07630594,40.132633
100,0.107328,42.170696
120,0.14012933,44.026424
140,0.17437509,45.720436
160,0.20972824,47.273056
180,0.24586871,48.70368
200,0.2825063,50.030525
220,0.3193975,51.270443
240,0.356355,52.438835
260,0.3932535,53.549675
280,0.43002927,54.615673
300,0.4666714,55.64831
320,0.5032066,56.657993
340,0.5396792,57.654003
360,0.5761238,58.644665
380,0.61253875,59.63727
400,0.64886194,60.63806
420,0.6849504,61.652176
440,0.7205712,62.683575
460,0.7554053,63.73499
480,0.789064,64.80792
500,0.82111967,65.90255
520,0.8511414,67.017685
540,0.8787376,68.150764
560,0.903593,69.29784
580,0.92549807,70.453545
600,0.94436365,71.611305
620,0.9602241,72.7634
640,0.973226,73.90143
660,0.98360676,75.01665
680,0.9916671,76.10051
700,0.9977425,77.14514
720,1.0,78.143776
740,1.0,79.091034
760,1.0,79.98304
780,1.0,80.81756
800,1.0,81.593735
820,1.0,82.31206
840,1.0,82.97398
860,1.0,83.58179
880,1.0,84.138275
900,1.0,84.6466
920,1.0,85.11007
940,1.0,85.53205
960,1.0,85.915825
980,1.0,86.26457
1000,1.0,86.58126
1020,1.0,86.86868
1040,1.0,87.12941
1060,1.0,87.36581
1080,1.0,87.58002
1100,1.0,87.774
1120,1.0,87.94955
1140,1.0,88.10823
1160,1.0,88.25152
1180,1.0,88.38072
1200,1.0,88.497025
1220,1.0,88.601494
1240,1.0,88.6951
1260,1.0,88.77871
1280,1.0,88.85313
1300,1.0,88.91907
1320,1.0,88.977165
1340,1.0,89.028046
1360,1.0,89.072235
1380,1.0,89.1102
1400,1.0,89.142426
1420,1.0,89.16931
1440,1.0,89.191216
1460,1.0,89.20851
1480,1.0,89.22147
