time,frac_pred,temp_pred
0,0.0,30.127832
20,0.0,33.177273
40,0.023090601,35.96431
60,0.05233267,38.499214
80,0.08402422,40.797375
100,0.11783902,42.877705
120,0.1534183,44.76141
140,0.19038922,46.470505
160,0.22838542,48.027126
180,0.26706892,49.45277
200,0.30614918,50.76778
220,0.34539926,51.991203
240,0.38466495,53.14072
260,0.4238668,54.232533
280,0.46299225,55.281574
300,0.5020772,56.30137
320,0.54117876,57.304363
340,0.5803407,58.301643
360,0.619555,59.303093
380,0.65872633,60.317276
400,0.69764405,61.351303
420,0.7359722,62.41071
440,0.7732571,63.499454
460,0.8089585,64.61973
480,0.84249955,65.77187
500,0.87332875,66.95424
520,0.9009809,68.16306
540,0.9251308,69.39243
560,0.9456249,70.634186
580,0.96249205,71.87833
600,0.9759281,73.113304
620,0.98626345,74.32691
640,0.9939179,75.50704
660,0.99935347,76.642586
680,1.0,77.72418
700,1.0,78.74465
720,1.0,79.69931
740,1.0,80.585724
760,1.0,81.40359
780,1.0,82.15431
800,1.0,82.840515
820,1.0,83.465744
840,1.0,84.034035
860,1.0,84.54961
880,1.0,85.0168
900,1.0,85.43974
920,1.0,85.822395
940,1.0,86.16839
960,1.0,86.48112
980,1.0,86.76363
1000,1.0,87.01873
1020,1.0,87.24888
1040,1.0,87.456345
1060,1.0,87.64314
1080,1.0,87.81108
1100,1.0,87.96179
1120,1.0,88.096725
1140,1.0,88.21719
1160,1.0,88.32438
1180,1.0,88.419365
1200,1.0,88.503105
1220,1.0,88.57646
1240,1.0,88.64025
1260,1.0,88.6952
1280,1.0,88.74196
1300,1.0,88.78112
1320,1.0,88.813255
1340,1.0,88.83885
1360,1.0,88.858376
1380,1.0,88.872246
1400,1.0,88.88086
1420,1.0,88.88458
1440,1.0,88.88371
1460,1.0,88.87857
1480,1.0,88.86946
