time,frac_pred,temp_pred
0,0.0,30.505001
20,0.0045230687,32.99965
40,0.026378289,35.31478
60,0.050254166,37.463116
80,0.07595366,39.458794
100,0.103259936,41.316666
120,0.1319417,43.051517
140,0.16176292,44.677814
160,0.19249123,46.209152
180,0.22390467,47.658184
200,0.2558022,49.036465
220,0.2880079,50.354435
240,0.32037738,51.62141
260,0.35279933,52.845673
280,0.38519624,54.03454
300,0.41752148,55.19448
320,0.44975334,56.331173
340,0.48188788,57.449657
360,0.5139285,58.55432
380,0.5458757,59.649
400,0.57771724,60.736977
420,0.60941595,61.821102
440,0.6409045,62.903603
460,0.6720779,63.98635
480,0.7027943,65.07057
500,0.7328756,66.15704
520,0.76211554,67.246
540,0.7902908,68.337105
560,0.8171722,69.429535
580,0.8425403,70.52187
600,0.8661999,71.61225
620,0.8879902,72.698235
640,0.90779716,73.77687
660,0.9255577,74.8449
680,0.9412618,75.89856
700,0.95495003,76.93396
720,0.96670943,77.94698
740,0.97666484,78.93363
760,0.9849686,79.88997
780,0.9917925,80.81245
800,0.9973168,81.69788
820,1.0,82.54369
840,1.0,83.34788
860,1.0,84.1091
880,1.0,84.82661
900,1.0,85.50032
920,1.0,86.13063
940,1.0,86.71845
960,1.0,87.265076
980,1.0,87.77209
1000,1.0,88.24133
1020,1.0,88.67477
1040,1.0,89.07447
1060,1.0,89.44252
1080,1.0,89.78105
1100,1.0,90.092064
1120,1.0,90.37759
1140,1.0,90.63947
1160,1.0,90.87956
1180,1.0,91.09951
1200,1.0,91.300896
1220,1.0,91.485214
1240,1.0,91.653824
1260,1.0,91.80795
1280,1.0,91.94881
1300,1.0,92.07742
1320,1.0,92.1948
1340,1.0,92.30185
1360,1.0,92.399376
1380,1.0,92.48814
1400,1.0,92.56886
1420,1.0,92.64216
1440,1.0,92.708626
1460,1.0,92.76878
1480,1.0,92.82313
