time,frac_pred,temp_pred
0,0.0,29.531904
20,0.0,32.02314
40,0.013610467,34.30274
60,0.030721232,36.38618
80,0.049876824,38.29038
100,0.07090901,40.032745
120,0.093632564,41.63042
140,0.11784947,43.099724
160,0.14335093,44.4559
180,0.16992247,45.712826
200,0.1973486,46.882977
220,0.22541791,47.97746
240,0.2539297,49.006138
260,0.2827004,49.977596
280,0.31156832,50.89946
300,0.34040037,51.778393
320,0.3690939,52.620327
340,0.39757887,53.430553
360,0.4258172,54.21386
380,0.45379972,54.97455
400,0.48154205,55.71663
420,0.50907767,56.44381
440,0.5364505,57.15954
460,0.5637067,57.866985
480,0.59088564,58.569195
500,0.61801124,59.268925
520,0.6450841,59.968628
540,0.6720763,60.67059
560,0.6989262,61.376736
580,0.72553754,62.088646
600,0.7517807,62.80762
620,0.77749664,63.534523
640,0.8025049,64.26991
660,0.8266117,65.01389
680,0.84962034,65.7662
700,0.8713443,66.526146
720,0.8916151,67.29265
740,0.9102941,68.06422
760,0.92727846,68.83889
780,0.9425058,69.61439
800,0.9559565,70.387985
820,0.96765345,71.156654
840,0.97765714,71.91718
860,0.9860619,72.66612
880,0.9929883,73.40006
900,0.9985761,74.11561
920,1.0,74.809616
940,1.0,75.479195
960,1.0,76.121895
980,1.0,76.73569
1000,1.0,77.31907
1020,1.0,77.87101
1040,1.0,78.39099
1060,1.0,78.87898
1080,1.0,79.3353
1100,1.0,79.760666
1120,1.0,80.15605
1140,1.0,80.52268
1160,1.0,80.861916
1180,1.0,81.175255
1200,1.0,81.464226
1220,1.0,81.73041
1240,1.0,81.97534
1260,1.0,82.20054
1280,1.0,82.40748
1300,1.0,82.59756
1320,1.0,82.77207
1340,1.0,82.93226
1360,1.0,83.07929
1380,1.0,83.21418
1400,1.0,83.33796
1420,1.0,83.4515
1440,1.0,83.55562
1460,1.0,83.651085
1480,1.0,83.73858
