time,frac_pred,temp_pred
0,0.21283302,47.72676
20,0.23849228,48.73394
40,0.2643035,49.66893
60,0.29023367,50.53832
80,0.31626344,51.34844
100,0.34238723,52.10541
120,0.3686139,52.81508
140,0.3949675,53.48312
160,0.42148483,54.114952
180,0.44821733,54.715805
200,0.4752273,55.29075
220,0.5025868,55.84472
240,0.53037345,56.382507
260,0.5586665,56.908882
280,0.58753806,57.428513
300,0.61704546,57.946014
320,0.6472202,58.46603
340,0.6780536,58.993103
360,0.70948344,59.531826
380,0.74137753,60.08679
400,0.7735214,60.662544
420,0.80560845,61.263737
440,0.83723575,61.895027
460,0.8679139,62.561142
480,0.8970826,63.26683
500,0.9241449,64.01656
520,0.94850916,64.81422
540,0.9696447,65.662415
560,0.9871405,66.56153
580,1.0,67.50873
600,1.0,68.496994
620,1.0,69.51462
640,1.0,70.5456
660,1.0,71.5708
680,1.0,72.57016
700,1.0,73.52502
720,1.0,74.42026
740,1.0,75.24566
760,1.0,75.99626
780,1.0,76.671844
800,0.99832755,77.27581
820,0.99659187,77.81401
840,0.9954465,78.29353
860,0.9948216,78.72173
880,0.9946353,79.10568
900,0.9948048,79.45175
920,0.99525434,79.765396
940,0.9959174,80.05118
960,0.9967386,80.31279
980,0.9976731,80.55317
1000,0.9986847,80.77458
1020,0.9997451,80.97879
1040,1.0,81.167145
1060,1.0,81.340645
1080,1.0,81.50009
1100,1.0,81.64608
1120,1.0,81.779144
1140,1.0,81.89969
1160,1.0,82.00814
1180,1.0,82.10486
1200,1.0,82.19024
1220,1.0,82.26467
1240,1.0,82.32855
1260,1.0,82.38231
1280,1.0,82.42637
1300,1.0,82.461174
1320,1.0,82.4872
1340,1.0,82.5049
1360,1.0,82.51473
1380,1.0,82.51717
1400,1.0,82.51267
1420,1.0,82.501686
1440,1.0,82.48464
1460,1.0,82.46198
1480,1.0,82.43409
