time,frac_pred,temp_pred
0,0.0,30.701237
20,0.001639396,33.673347
40,0.030351818,36.407623
60,0.06160459,38.912884
80,0.095115796,41.202663
100,0.13056105,43.29386
120,0.16759282,45.205708
140,0.20586073,46.958454
160,0.2450335,48.572693
180,0.2848174,50.0687
200,0.32497373,51.465923
220,0.36532846,52.782825
240,0.40577728,54.03663
260,0.4462759,55.243294
280,0.4868272,56.41751
300,0.5274525,57.57265
320,0.5681599,58.720753
340,0.6089058,59.872433
360,0.6495601,61.03688
380,0.6898793,62.221592
400,0.7294962,63.432415
420,0.76793045,64.67336
440,0.80462074,65.94646
460,0.83897704,67.25166
480,0.87044483,68.58675
500,0.8985686,69.94709
520,0.9230433,71.32565
540,0.94374686,72.71307
560,0.9607447,74.098045
580,0.97427195,75.467804
600,0.9846949,76.80911
620,0.9924622,78.10911
640,0.9980543,79.35633
660,1.0,80.54142
680,1.0,81.657486
700,1.0,82.70031
720,1.0,83.66813
740,1.0,84.561295
760,1.0,85.381836
780,1.0,86.13298
800,1.0,86.81876
820,1.0,87.44362
840,1.0,88.01215
860,1.0,88.52892
880,1.0,88.998314
900,1.0,89.424446
920,1.0,89.81116
940,1.0,90.161934
960,1.0,90.47999
980,1.0,90.76819
1000,1.0,91.029205
1020,1.0,91.26535
1040,1.0,91.47877
1060,1.0,91.67138
1080,1.0,91.844925
1100,1.0,92.000984
1120,1.0,92.14095
1140,1.0,92.26615
1160,1.0,92.37773
1180,1.0,92.47678
1200,1.0,92.56425
1220,1.0,92.64107
1240,1.0,92.708015
1260,1.0,92.76587
1280,1.0,92.8153
1300,1.0,92.85696
1320,1.0,92.8914
1340,1.0,92.91918
1360,1.0,92.94078
1380,1.0,92.956665
1400,1.0,92.96726
1420,1.0,92.97295
1440,1.0,92.974075
1460,1.0,92.971016
1480,1.0,92.96403
