velo_in,temp_in,time,frac_true,frac_pred,temp_pcm_true,temp_pcm_pred
0.7,90.0,740.0,0.96859,0.98687863,73.16913,71.50731
0.7,90.0,760.0,0.97991,1.0,74.18651,72.3899
0.7,90.0,780.0,0.98839,1.0,75.22394,73.278114
0.7,90.0,800.0,0.99437,1.0,76.26269,74.17058
0.7,90.0,820.0,0.99812,1.0,77.28806,75.06509
0.7,90.0,840.0,0.99986,1.0,78.29196,75.95855
0.7,90.0,860.0,1.0,1.0,79.25757,76.84701
0.7,95.0,0.0,0.0,0.0,30.0,30.580652
0.7,95.0,20.0,0.0,0.0,32.39665,33.035572
0.7,95.0,40.0,0.011,0.0,35.22044,35.332775
0.7,95.0,60.0,0.03333,0.01573515,37.60989,37.481052
0.7,95.0,80.0,0.0621,0.047891587,39.68835,39.48985
0.7,95.0,100.0,0.09471,0.08003792,41.54864,41.36874
0.7,95.0,120.0,0.12933,0.11218998,43.25847,43.127075
0.7,95.0,140.0,0.16497,0.14436045,44.85173,44.773655
0.7,95.0,160.0,0.20035,0.1765602,46.37767,46.31652
0.7,95.0,180.0,0.23523,0.20879543,47.84154,47.762924
0.7,95.0,200.0,0.26923,0.24106944,49.26103,49.119423
0.7,95.0,220.0,0.30238,0.2733825,50.6367,50.392128
0.7,95.0,240.0,0.33489,0.30573383,51.9651,51.587273
0.7,95.0,260.0,0.36699,0.3381232,53.24294,52.71163
0.7,95.0,280.0,0.39884,0.3705529,54.47055,53.773056
0.7,95.0,300.0,0.43059,0.403027,55.64887,54.78057
0.7,95.0,320.0,0.46235,0.43555194,56.7789,55.74434
0.7,95.0,340.0,0.49429,0.46813244,57.86183,56.675148
0.7,95.0,360.0,0.52659,0.5007703,58.89768,57.583786
0.7,95.0,380.0,0.55963,0.5334593,59.88232,58.480324
0.7,95.0,400.0,0.5932,0.56618357,60.83228,59.37356
0.7,95.0,420.0,0.62638,0.598914,61.78461,60.270657
0.7,95.0,440.0,0.65892,0.63160855,62.74817,61.17696
0.7,95.0,460.0,0.69073,0.6642097,63.72568,62.09612
0.7,95.0,480.0,0.72175,0.6966443,64.71565,63.030235
0.7,95.0,500.0,0.75196,0.72882414,65.71702,63.980114
0.7,95.0,520.0,0.78125,0.7606438,66.73021,64.94557
0.7,95.0,540.0,0.80955,0.7919818,67.75386,65.92567
0.7,95.0,560.0,0.83675,0.8227002,68.78823,66.918945
