velo_in,temp_in,time,frac_true,frac_pred,temp_pcm_true,temp_pcm_pred
0.7,90.0,740.0,0.96859,0.95431405,73.16913,73.54248
0.7,90.0,760.0,0.97991,0.9665118,74.18651,74.44325
0.7,90.0,780.0,0.98839,0.9768906,75.22394,75.3282
0.7,90.0,800.0,0.99437,0.98557276,76.26269,76.193474
0.7,90.0,820.0,0.99812,0.9927054,77.28806,77.03538
0.7,90.0,840.0,0.99986,0.99845296,78.29196,77.85038
0.7,90.0,860.0,1.0,1.0,79.25757,78.63534
0.7,95.0,0.0,0.0,0.0,30.0,30.505001
0.7,95.0,20.0,0.0,0.0045230687,32.39665,32.99965
0.7,95.0,40.0,0.011,0.026378289,35.22044,35.31478
0.7,95.0,60.0,0.03333,0.050254136,37.60989,37.463116
0.7,95.0,80.0,0.0621,0.07595371,39.68835,39.458797
0.7,95.0,100.0,0.09471,0.103259936,41.54864,41.316666
0.7,95.0,120.0,0.12933,0.1319417,43.25847,43.051517
0.7,95.0,140.0,0.16497,0.16176292,44.85173,44.677814
0.7,95.0,160.0,0.20035,0.19249123,46.37767,46.209152
0.7,95.0,180.0,0.23523,0.22390467,47.84154,47.658184
0.7,95.0,200.0,0.26923,0.2558022,49.26103,49.036465
0.7,95.0,220.0,0.30238,0.2880079,50.6367,50.354435
0.7,95.0,240.0,0.33489,0.32037738,51.9651,51.62141
0.7,95.0,260.0,0.36699,0.35279933,53.24294,52.845673
0.7,95.0,280.0,0.39884,0.38519624,54.47055,54.03454
0.7,95.0,300.0,0.43059,0.41752148,55.64887,55.19448
0.7,95.0,320.0,0.46235,0.44975334,56.7789,56.331173
0.7,95.0,340.0,0.49429,0.48188788,57.86183,57.449657
0.7,95.0,360.0,0.52659,0.5139285,58.89768,58.55432
0.7,95.0,380.0,0.55963,0.5458757,59.88232,59.649
0.7,95.0,400.0,0.5932,0.57771724,60.83228,60.736977
0.7,95.0,420.0,0.62638,0.60941595,61.78461,61.821102
0.7,95.0,440.0,0.65892,0.6409045,62.74817,62.903603
0.7,95.0,460.0,0.69073,0.6720779,63.72568,63.98635
0.7,95.0,480.0,0.72175,0.7027943,64.71565,65.07057
0.7,95.0,500.0,0.75196,0.7328756,65.71702,66.15704
0.7,95.0,520.0,0.78125,0.76211554,66.73021,67.246
0.7,95.0,540.0,0.80955,0.7902908,67.75386,68.337105
0.7,95.0,560.0,0.83675,0.8171722,68.78823,69.429535
0.7,95.0,580.0,0.86271,0.8425403,69.83354,70.52187
0.7,95.0,600.0,0.88727,0.86619985,70.88995,71.61225
0.7,95.0,620.0,0.91019,0.8879902,71.95969,72.698235
0.7,95.0,640.0,0.93117,0.90779716,73.04744,73.77687
0.7,95.0,660.0,0.94984,0.9255577,74.15864,74.8449
0.7,95.0,680.0,0.96563,0.9412618,75.30562,75.89856
0.7,95.0,700.0,0.97809,0.9549499,76.49313,76.933945
0.7,95.0,720.0,0.98737,0.96670955,77.70213,77.94699
0.7,95.0,740.0,0.99389,0.97666484,78.90927,78.93363
0.7,95.0,760.0,0.99795,0.9849686,80.09911,79.88997
0.7,95.0,780.0,0.99983,0.9917925,81.2603,80.81245
0.7,95.0,800.0,1.0,0.9973168,82.37513,81.69788
0.7,100.0,0.0,0.0,0.0,30.0,31.454752
0.7,100.0,20.0,0.000303,0.012416214,32.57486,33.89546
0.7,100.0,40.0,0.01548,0.037091866,35.49328,36.17856
0.7,100.0,60.0,0.04197,0.06361708,37.96609,38.31572
